ticker_symbol,security_name,gics_sector,gics_sub_industry,headquarters
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota"
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin"
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois"
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California"
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California"
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia"
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California"
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania"
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California"
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California"
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona"
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland"
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois"
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California"
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California"
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia"
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington"
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri"
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio"
AXP,American Express,Financials,Consumer Finance,"New York City, New York"
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York"
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts"
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey"
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota"
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California"
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut"
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts"
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom"
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York"
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California"
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland"
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois"
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California"
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois"
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas"
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas"
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California"
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey"
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee"
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia"
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio"
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado"
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina"
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois"
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey"
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota"
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota"
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts"
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York"
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York"
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York"
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia"
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York"
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California"
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York"
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida"
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky"
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas"
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri"
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts"
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota"
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California"
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada"
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas"
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey"
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia"
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio"
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia"
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas"
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas"
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois"
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania"
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri"
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas"
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts"
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas"
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut"
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California"
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California"
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland"
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey"
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut"
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California"
C,Citigroup,Financials,Diversified Banks,"New York City, New York"
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island"
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California"
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan"
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia"
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey"
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York"
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York"
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania"
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York"
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York"
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland"
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California"
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas"
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York"
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana"
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C."
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington"
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas"
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas"
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida"
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana"
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island"
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C."
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida"
DDOG,Datadog,Information Technology,Application Software,"New York City, New York"
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado"
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota"
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California"
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois"
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas"
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia"
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California"
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas"
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas"
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia"
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia"
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan"
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California"
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois"
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan"
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas"
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan"
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina"
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware"
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee"
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland"
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California"
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota"
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California"
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana"
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri"
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana"
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania"
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia"
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California"
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois"
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania"
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California"
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York"
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda"
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri"
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut"
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois"
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington"
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington"
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah"
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas"
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington"
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut"
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana"
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota"
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland"
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio"
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona"
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio"
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California"
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington"
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York"
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York"
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California"
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona"
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut"
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio"
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois"
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts"
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona"
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin"
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia"
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia"
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California"
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas"
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona"
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York"
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee"
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado"
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York"
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas"
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina"
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania"
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut"
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan"
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia"
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York"
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine"
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois"
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware"
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina"
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts"
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California"
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut"
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia"
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York"
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York"
INTU,Intuit,Information Technology,Application Software,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas"
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts"
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas"
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida"
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri"
